program, simb_program
teste2, id
;, simb_pv
var, simb_var
a, id
:, simb_dp
real, simb_tipo
;, simb_pv
procedure, simb_procedure
nomep, id
(, simb_apar
x, id
:, simb_dp
real, simb_tipo
), simb_fpar
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_apar
a, id
,, simb_virg
b, id
), simb_fpar
;, simb_pv
if, simb_if
a, id
<, simb_menor
b, id
+, simb_mais
x, id
then, id
a, id
:=, simb_atrib
b, id
+, simb_mais
ERRO: Numero real 2.x incorreto na linha 8, Erro_Lexico
10, numero_int
else, simb_else
b, id
:=, simb_atrib
a, id
+, simb_mais
x, id
;, simb_pv
end, simb_end
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_apar
a, id
,, simb_virg
ERRO: Caractere @ invalido na linha 12, Erro_Lexico
), simb_fpar
;, simb_pv
nomep, id
(, simb_apar
a, id
), simb_fpar
;, simb_pv
end, simb_end
., simb_p
